TStamp Europe/Helsinki	X [m/s²]	Y [m/s²]	Z [m/s²]
1570546289843	0,333426	0,039227	10,023134
1570546289848	0,294199	0,000000	9,945437
1570546289853	0,254973	-0,039227	9,945437
1570546289858	0,333426	0,039227	9,906593
1570546289863	0,254973	0,078453	9,867741
1570546289868	0,294199	0,156906	9,906593
1570546289873	0,254973	0,000000	10,023134
1570546289877	0,254973	0,117680	9,984290
1570546289882	0,411879	0,117680	10,100849
1570546289887	0,333426	0,078453	10,100849
1570546289892	0,294199	0,039227	9,945437
1570546289897	0,294199	0,078453	9,984290
1570546289902	0,333426	0,039227	9,945437
1570546289907	0,294199	0,000000	9,984290
1570546289912	0,294199	0,000000	9,945437
1570546289917	0,254973	0,039227	9,984290
1570546289922	0,294199	0,078453	9,984290
1570546289927	0,254973	0,078453	9,906593
1570546289932	0,254973	0,117680	9,867741
1570546289937	0,215746	0,039227	9,906593
1570546289942	0,254973	-0,039227	9,945437
1570546289947	0,372653	-0,039227	9,945437
1570546289952	0,372653	-0,039227	9,828897
1570546289957	0,411879	0,000000	9,828897
1570546289962	0,333426	0,156906	9,867741
1570546289967	0,333426	0,156906	9,906593
1570546289972	0,372653	0,156906	9,984290
1570546289977	0,411879	0,039227	10,023134
1570546289982	0,254973	0,117680	10,061987
1570546289987	0,176520	0,117680	9,945437
1570546289992	0,333426	0,078453	10,023134
1570546289997	0,372653	0,039227	10,061987
1570546290002	0,333426	0,156906	9,984290
1570546290007	0,372653	0,078453	9,945437
1570546290011	0,254973	0,117680	9,867741
1570546290016	0,333426	0,078453	9,867741
1570546290021	0,294199	0,078453	9,945437
1570546290026	0,254973	0,000000	9,945437
1570546290031	0,333426	-0,078453	9,984290
1570546290036	0,372653	-0,039227	9,945437
1570546290041	0,333426	0,039227	9,945437
1570546290046	0,254973	0,078453	9,984290
1570546290051	0,215746	0,078453	10,023134
1570546290056	0,411879	0,000000	10,023134
1570546290061	0,451106	0,039227	10,023134
1570546290066	0,333426	0,117680	9,984290
1570546290071	0,294199	0,000000	9,906593
1570546290076	0,372653	0,078453	9,906593
1570546290081	0,372653	0,078453	9,867741
1570546290086	0,372653	0,156906	9,984290
1570546290091	0,372653	0,078453	9,984290
1570546290096	0,333426	0,078453	10,023134
1570546290101	0,294199	0,039227	9,906593
1570546290106	0,294199	0,078453	9,945437
1570546290111	0,333426	0,000000	9,984290
1570546290116	0,294199	0,039227	9,984290
1570546290121	0,333426	0,039227	9,984290
1570546290126	0,451106	0,039227	9,984290
1570546290131	0,372653	0,039227	9,906593
1570546290136	0,333426	0,117680	9,945437
1570546290141	0,333426	0,039227	9,945437
1570546290145	0,411879	0,078453	9,984290
1570546290150	0,333426	0,078453	9,906593
1570546290155	0,294199	0,039227	9,984290
1570546290160	0,411879	0,078453	9,945437
